G	Date	Time	Network	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Fri, Nov 14, 2014	8:00 pm/est		REG		Hillsdale		W	101	61		1	0	W 1		NA	abilene-christian	2015
2	Wed, Nov 19, 2014	8:05 pm/est	ESPN3.com	REG	@	Tulsa	AAC	L	39	65		1	1	L 1		tulsa	abilene-christian	2015
3	Sat, Nov 22, 2014	5:00 pm/est		REG		Duquesne	A-10	L	81	102		1	2	L 2		duquesne	abilene-christian	2015
4	Tue, Nov 25, 2014	8:00 pm/est		REG		Jarvis Christian		W	91	65		2	2	W 1		NA	abilene-christian	2015
5	Sat, Nov 29, 2014	4:00 pm/est		REG	@	UC-Riverside	Big West	L	56	76		2	3	L 1		california-riverside	abilene-christian	2015
6	Thu, Dec 4, 2014	8:00 pm/est		REG		Sacramento State	Big Sky	W	72	61		3	3	W 1		sacramento-state	abilene-christian	2015
7	Sat, Dec 6, 2014	8:00 pm/est	ESPN3.com	REG	@	Houston	AAC	L	59	71		3	4	L 1		houston	abilene-christian	2015
8	Sat, Dec 13, 2014	5:00 pm/est		REG		Northern New Mexico		W	76	48		4	4	W 1		NA	abilene-christian	2015
9	Wed, Dec 17, 2014	8:00 pm/est		REG	@	Loyola (IL)	MVC	L	44	83		4	5	L 1		loyola-il	abilene-christian	2015
10	Sat, Dec 20, 2014	1:00 pm/est		REG	@	Boise State	MWC	L	33	77		4	6	L 2		boise-state	abilene-christian	2015
11	Mon, Dec 22, 2014	5:30 pm/est		REG	N	South Carolina State	MEAC	W	65	59		5	6	W 1		south-carolina-state	abilene-christian	2015
12	Tue, Dec 23, 2014	6:00 pm/est		REG	N	Arkansas-Pine Bluff	SWAC	W	69	61		6	6	W 2		arkansas-pine-bluff	abilene-christian	2015
13	Sun, Dec 28, 2014	6:00 pm/est		REG	@	Grand Canyon	WAC	L	81	83		6	7	L 1		grand-canyon	abilene-christian	2015
14	Sun, Jan 4, 2015	4:00 pm/est		REG		Central Arkansas	Southland	W	87	70		7	7	W 1		central-arkansas	abilene-christian	2015
15	Sat, Jan 10, 2015	5:00 pm/est		REG		Nicholls State	Southland	W	71	54		8	7	W 2		nicholls-state	abilene-christian	2015
16	Tue, Jan 13, 2015	7:30 pm/est		REG	@	Northwestern State	Southland	W	95	81		9	7	W 3		northwestern-state	abilene-christian	2015
17	Sat, Jan 17, 2015	12:00 pm/est	CBSSN	REG		Stephen F. Austin	Southland	L	64	82		9	8	L 1		stephen-f-austin	abilene-christian	2015
18	Tue, Jan 20, 2015	8:00 pm/est		REG	@	McNeese State	Southland	L	56	63		9	9	L 2		mcneese-state	abilene-christian	2015
19	Sat, Jan 24, 2015	5:30 pm/est		REG		Incarnate Word	Southland	L	61	77		9	10	L 3		incarnate-word	abilene-christian	2015
20	Mon, Jan 26, 2015	8:00 pm/est		REG		Sam Houston State	Southland	L	63	80		9	11	L 4		sam-houston-state	abilene-christian	2015
21	Sat, Jan 31, 2015	7:30 pm/est		REG	@	Lamar	Southland	L	74	84		9	12	L 5		lamar	abilene-christian	2015
22	Mon, Feb 2, 2015	8:00 pm/est		REG	@	Houston Baptist	Southland	L	61	77		9	13	L 6		houston-baptist	abilene-christian	2015
23	Sat, Feb 7, 2015	5:00 pm/est		REG		Southeastern Louisiana	Southland	L	52	65		9	14	L 7		southeastern-louisiana	abilene-christian	2015
24	Mon, Feb 9, 2015	8:00 pm/est		REG	N	Lamar	Southland	L	61	80		9	15	L 8		lamar	abilene-christian	2015
25	Mon, Feb 16, 2015	7:30 pm/est		REG	@	Sam Houston State	Southland	L	49	71		9	16	L 9		sam-houston-state	abilene-christian	2015
26	Sat, Feb 21, 2015	8:00 pm/est	ESPN3.com	REG	@	Southeastern Louisiana	Southland	L	54	55		9	17	L 10		southeastern-louisiana	abilene-christian	2015
27	Tue, Feb 24, 2015	8:00 pm/est		REG		Texas A&M-Corpus Christi	Southland	L	44	67		9	18	L 11		texas-am-corpus-christi	abilene-christian	2015
28	Sat, Feb 28, 2015	7:15 pm/est		REG	@	New Orleans	Southland	L	55	75		9	19	L 12		new-orleans	abilene-christian	2015
29	Tue, Mar 3, 2015	8:00 pm/est		REG		Houston Baptist	Southland	W	83	71		10	19	W 1		houston-baptist	abilene-christian	2015
30	Thu, Mar 5, 2015	9:00 pm/est		REG	@	Incarnate Word	Southland	L	52	64		10	20	L 1		incarnate-word	abilene-christian	2015
31	Sat, Mar 7, 2015	4:30 pm/est		REG	@	Texas A&M-Corpus Christi	Southland	L	27	58		10	21	L 2		texas-am-corpus-christi	abilene-christian	2015
1	Fri, Nov 14, 2014	8:00 pm/est	Patriot League Network	REG	@	Army	Patriot	L	78	84		0	1	L 1		army	air-force	2015
2	Sat, Nov 15, 2014	5:30 pm/est		REG	N	Citadel	Southern	W	68	55		1	1	W 1		citadel	air-force	2015
3	Wed, Nov 19, 2014	9:00 pm/est	Mountain West Network	REG		Colorado Christian		W	70	47		2	1	W 2		NA	air-force	2015
4	Sat, Nov 22, 2014	4:00 pm/est	Mountain West Network	REG		Western State		W	90	60		3	1	W 3		NA	air-force	2015
5	Tue, Nov 25, 2014	9:00 pm/est	Pac-12 Network	REG	@	Colorado	Pac-12	L	53	68		3	2	L 1		colorado	air-force	2015
