G	Date	Type		Opponent	Conf		Tm	Opp	OT	W	L	Streak	Arena	opponent_bbref_id	team	year
1	Sat, Nov 9, 2013	REG	@	Duquesne	A-10	L	75	94		0	1	L 1	A.J. Palumbo Center	s/2013-11-09-duq	abilene-christian	2014
2	Mon, Nov 11, 2013	REG	@	St. Bonaventure	A-10	L	47	75		0	2	L 2	Reilly Center	s/2013-11-11-st-bonave	abilene-christian	2014
3	Wed, Nov 13, 2013	REG	@	Maryland	ACC	L	44	67		0	3	L 3	Comcast Center	s/2013-11-13-mar	abilene-christian	2014
4	Sun, Nov 17, 2013	REG	@	Iowa	Big Ten	L	41	103		0	4	L 4	Carver-Hawkeye Arena	s/2013-11-17	abilene-christian	2014
5	Tue, Nov 19, 2013	REG	@	Texas Christian	Big 12	L	64	71		0	5	L 5	Daniel-Meyer Coliseum	s/2013-11-19-texas-chri	abilene-christian	2014
6	Fri, Nov 22, 2013	REG	N	Western New Mexico		W	62	44		1	5	W 1		s/2013-11-22-abilene-chri	abilene-christian	2014
7	Sat, Nov 23, 2013	REG	N	Northern New Mexico		W	78	56		2	5	W 2		s/2013-11-23-abilene-chri	abilene-christian	2014
8	Mon, Nov 25, 2013	REG	@	Xavier	Big East	L	65	93		2	6	L 1	Cintas Center	s/2013-11-25-x	abilene-christian	2014
9	Fri, Nov 29, 2013	REG	N	West Alabama		L	67	77		2	7	L 2	Towson Center	s/2013-11-29-abilene-chri	abilene-christian	2014
10	Sat, Nov 30, 2013	REG	@	Towson	CAA	L	47	74		2	8	L 3	Towson Center	s/2013-11-30-t	abilene-christian	2014
11	Tue, Dec 3, 2013	REG		Hillsdale Free Will Baptist		W	93	53		3	8	W 1		s/2013-12-03-abilene-chri	abilene-christian	2014
12	Tue, Dec 17, 2013	REG		Bacone		W	90	63		4	8	W 2	Moody Coliseum 	s/2013-12-17-abilene-chri	abilene-christian	2014
13	Wed, Dec 18, 2013	REG		Open Bible College		W	87	43		5	8	W 3	Moody Coliseum 	s/2013-12-18-abilene-chri	abilene-christian	2014
14	Mon, Dec 30, 2013	REG		Open Bible College		W	99	49		6	8	W 4	Moody Coliseum 	s/2013-12-30-abilene-chri	abilene-christian	2014
