bbref_id	School	"City, State"	latitude	longitude	From	To	Yrs	G	W	L	W-L%	SRS	SOS	AP	CREG	CTRN	NCAA	FF	NC
abilene-christian	Abilene Christian Wildcats	"Abilene, Texas"	32.4464534	-99.7333477	1971	2016	6	157	67	90	0.427	-14.33	-6.6	0	0	0	0	0	0
air-force	Air Force Falcons	"USAF Academy, Colorado"	38.978759	-104.8643891	1958	2016	58	1564	687	877	0.439	-2.64	1.31	0	1	0	4	0	0
akron	Akron Zips	"Akron, Ohio"	41.0830643	-81.5184853	1902	2016	65	1446	850	596	0.588	-0.5	-1.56	0	6	4	4	0	0
alabama-am	Alabama A&M Bulldogs	"Normal, Alabama"	34.7889792	-86.5719368	2000	2016	17	475	209	266	0.44	-15.62	-11.69	0	1	1	1	0	0
alabama	Alabama Crimson Tide	"Tuscaloosa, Alabama"	33.2668398	-87.4862181	1913	2016	103	2607	1613	993	0.619	7.04	4.3	15	10	7	20	0	0
alabama-state	Alabama State Hornets	"Montgomery, Alabama"	32.3669656	-86.3006484	1983	2016	34	991	496	495	0.501	-12.45	-10.1	0	4	4	4	0	0
alabama-birmingham	Alabama-Birmingham Blazers	"Birmingham, Alabama"	33.5206824	-86.8024325	1980	2016	37	1174	735	439	0.626	7.02	3.04	2	6	5	15	0	0
albany-ny	Albany (NY) Great Danes	"Albany, New York"	42.6511674	-73.7549679	2000	2016	17	516	249	267	0.483	-7.31	-6.11	0	2	4	5	0	0
alcorn-state	Alcorn State Braves	"Alcorn State, Mississippi"	31.8771048	-91.1412199	1978	2016	39	1139	491	648	0.431	-13.31	-8.72	0	10	6	6	0	0
allegheny	Allegheny Gators	"Meadville, Pennsylvania"	41.6414449	-80.151449	1896	1916	21	234	191	41	0.823			0	0	0			
american	American Eagles	"Washington, D.C."	36.29885175	-82.35919321	1967	2016	50	1401	702	699	0.501	-5.37	-3.6	0	7	3	3	0	0
amherst	Amherst Lord Jeffs	"Amherst, Massachusetts"	42.3803676	-72.5231429	1901	1902	2	12	12	0	1			0	0	0			
appalachian-state	Appalachian State Mountaineers	"Boone, North Carolina"	36.216795	-81.6745516	1974	2016	43	1245	618	627	0.496	-6.01	-3.48	0	10	2	2	0	0
arizona-state	Arizona State Sun Devils	"Tempe, Arizona"	33.4144139	-111.9094473	1912	2016	101	2428	1286	1142	0.53	4.68	3.71	7	8	0	14	0	0
arizona	Arizona Wildcats	"Tucson, Arizona"	32.2217422	-110.9264758	1905	2016	109	2604	1702	901	0.654	8.53	4.84	24	22	5	32	4	1
arkansas	Arkansas Razorbacks	"Fayetteville, Arkansas"	36.113284	-94.21492476	1924	2016	93	2526	1615	911	0.639	7.21	2.76	16	26	7	30	6	1
arkansas-state	Arkansas State Red Wolves	"State University, Arkansas"	35.843022	-90.6776941	1971	2016	46	1309	678	631	0.518	-3.45	-3.03	0	7	1	1	0	0
